Date,Open,High,Low,Close,Adj Close,Volume,Average
1999-01-22,0.4375,0.488281,0.388021,0.410156,0.376237,271468800,0.437934
1999-01-25,0.442708,0.458333,0.410156,0.453125,0.415652,51048000,0.43706566666666663
1999-01-26,0.458333,0.467448,0.411458,0.417969,0.383404,34320000,0.4457463333333333
1999-01-27,0.419271,0.429688,0.395833,0.416667,0.38221,24436800,0.4149306666666666
1999-01-28,0.416667,0.419271,0.41276,0.415365,0.381015,22752000,0.4162326666666667
1999-01-29,0.415365,0.416667,0.395833,0.395833,0.363098,24403200,0.4092883333333333
1999-02-01,0.395833,0.40625,0.395833,0.403646,0.370265,15470400,0.39930533333333335
1999-02-02,0.395833,0.40625,0.360677,0.372396,0.3416,26409600,0.3875866666666667
1999-02-03,0.367188,0.385417,0.364583,0.380208,0.348766,7512000,0.372396
1999-02-04,0.385417,0.411458,0.380208,0.401042,0.367877,18192000,0.392361
1999-02-05,0.407552,0.416667,0.397135,0.41276,0.378626,13684800,0.40711800000000004
1999-02-08,0.415365,0.416667,0.398438,0.398438,0.365488,15408000,0.41015666666666667
1999-02-09,0.40625,0.408854,0.377604,0.382813,0.351155,8697600,0.3975693333333334
1999-02-10,0.382813,0.393229,0.372396,0.378906,0.347571,14822400,0.3828126666666667
1999-02-11,0.380208,0.427083,0.380208,0.411458,0.377431,13224000,0.39583299999999993
1999-02-12,0.416667,0.4375,0.416667,0.434896,0.398931,10972800,0.42361133333333334
1999-02-16,0.442708,0.460938,0.393229,0.4375,0.40132,21100800,0.4322916666666667
1999-02-17,0.427083,0.432292,0.40625,0.414063,0.379821,6772800,0.421875
1999-02-18,0.427083,0.432292,0.408854,0.420573,0.385792,7070400,0.42274300000000004
1999-02-19,0.416667,0.442708,0.411458,0.434896,0.398931,7536000,0.423611
1999-02-22,0.442708,0.447917,0.414063,0.4375,0.40132,20524800,0.434896
1999-02-23,0.447917,0.467448,0.421875,0.458333,0.42043,13809600,0.4457466666666667
1999-02-24,0.526042,0.546875,0.483073,0.494792,0.453874,61276800,0.5186633333333334
1999-02-25,0.515625,0.53125,0.471354,0.479167,0.439541,14913600,0.5060763333333334
1999-02-26,0.484375,0.5,0.453125,0.457031,0.419236,17260800,0.4791666666666667
1999-03-01,0.46875,0.479167,0.4375,0.459635,0.421624,9216000,0.4618056666666666
1999-03-02,0.458333,0.460938,0.447917,0.455729,0.418041,5524800,0.4557293333333334
1999-03-03,0.458333,0.458333,0.421875,0.424479,0.389375,6139200,0.44618033333333335
1999-03-04,0.445313,0.447917,0.411458,0.415365,0.381015,5736000,0.434896
1999-03-05,0.419271,0.440104,0.419271,0.438802,0.402514,7876800,0.42621533333333333
1999-03-08,0.427083,0.458333,0.419271,0.445313,0.408487,7588800,0.4348956666666666
1999-03-09,0.44401,0.466146,0.44401,0.459635,0.421624,14318400,0.45138866666666666
1999-03-10,0.466146,0.466146,0.445313,0.451823,0.414458,23534400,0.4592016666666667
1999-03-11,0.44401,0.451823,0.432292,0.432292,0.396542,5428800,0.4427083333333333
1999-03-12,0.434896,0.434896,0.416667,0.424479,0.389375,9076800,0.42881966666666665
1999-03-15,0.434896,0.447917,0.432292,0.442708,0.406097,10881600,0.4383683333333333
1999-03-16,0.445313,0.450521,0.424479,0.428385,0.392958,7915200,0.4401043333333334
1999-03-17,0.432292,0.440104,0.420573,0.43099,0.395348,5136000,0.4309896666666666
1999-03-18,0.432292,0.442708,0.421875,0.436198,0.400125,4632000,0.4322916666666667
1999-03-19,0.434896,0.450521,0.434896,0.4375,0.40132,10531200,0.4401043333333334
1999-03-22,0.446615,0.447917,0.424479,0.424479,0.389375,3667200,0.43967033333333333
1999-03-23,0.427083,0.427083,0.390625,0.398438,0.365488,16396800,0.41493033333333335
1999-03-24,0.395833,0.398438,0.380208,0.395833,0.363098,6086400,0.3914929999999999
1999-03-25,0.394531,0.416667,0.393229,0.401042,0.367877,4032000,0.40147566666666673
1999-03-26,0.40625,0.4375,0.40625,0.436198,0.400125,8827200,0.4166666666666667
